address,staked_bmx,voter_points
0x9e0149f7CC28c93A3B5F76AB3e8A2a22d14435b5,457.615088716487472612,487.694574272033424858
0x0CF57CC0104C3eBbb7Ea83BE0A0a86E803194542,441.622474043548651685,623.234857040217070534
0x13c28134b1e195382117cBBF524E624f48699906,438.325309516235610261,471.782084393725803609
0x1764C9d237107Ec02B2af67e11De92A7e0ddcD9C,437.877546586560680354,581.598993831302065671
0x71E92Fa82D796F6F13F5CB4E8F84Ddc0b0542A60,437.19974876642307223,573.64378510534742774
0x17fB4db24b8f1817bc33d6e167b105FD77599C28,380,611.287669964485032975
0xAFf055a856a614DA45aA40C24315a4B3924Fc4A7,367.767028611437541954,542.486058185344648859
0x32cf4d1df6fb7bB173183CF8b51EF9499c803634,358.839505623609571267,381.979594988735816776
0x2D82e73751FDE6fc396363907Bf0FB6071176e04,350,369.73284817351598173
0x06D868f6f3333aD1c2B4aee049672b36713fA1c0,343.870339155230446582,750.398464339811347278
0x887e8b6119B38C60cb03CAb204C0A704c6E0A473,308.221652568679985228,245.345195236416241037
0xf6b4Eea6dA5D228B5c7068F34962900732141fCB,284.486516009760461401,194.324930501530624332
0x6aFdE17BE7cbF7180Eef615d713C9DFB1F1cbD46,283.625783442120200035,209.697449477945033739
0xaD0994347F09784e83825Dcc73Be13Bb97a944DB,280.692180156296552915,217.674613942690785752
0x905B3a232FF03E8F69Aa4F8478ce1812eceD9FEC,279.100218257467580065,391.89009496334362161
0x128367eC3a60FEc2DBf605E945ABe5cE4791eba3,274.817595492935271689,392.674937402871681902
0xAdffC760EDF4f6146dce89022B5AE7EbB7edD2B9,273.792334700885413861,565.76194232827307782
0xB2EeF2dd33A58c0DD3F2Ad9390a13533bFD23Cd4,263.439336144385970338,242.060116978505174577
0xc304A76B744D4ECcAe0f1dF4C7E7443520e53373,256.77910212687166463,161.50112374619682165
0xE4990e105E0B49b7c1D4759468A6B522F825940C,252.450748254578770528,550.904977724769506706
0x73F129D2F868713fF5cB38E322b7F44155B6A68E,250,200.195887239979705731
0xF4F2648a273825f12774e5712Ba26348Bfa279b0,248.58664588862837308,358.665472899460345352
0xC279ccE107A9272FfEc07CB1b7471491c2FEe5A2,228.698836991310531344,288.073967419425591396
0xD26B60fb1Eae3758aD8b4A83A893d8EA3cA31a06,203.628191639107082156,140.871566234197531244
0x8E8A10fB84D59275e304b24B302D533C4Ed5D033,200,302.388013698630136985
0xa4722a7A8a79E0de7B568559261D789f0B80baDC,195.968601473633297966,422.260111469666719629
0x36B46Ed93873a9b600908293c5756946a148e179,184.060272329416090686,272.944152818623372657
0x13C31d43bb05EC526FC41440b17A06872882e172,180.894476229493875612,147.27767911755837213
0x76b49fA94426297A0287059FEd9Ec990B486678D,176.085254385634521207,266.500788956298985522
0x0cC5DF7eBf01715F27C947293e3548CaeEdfEf59,160.771761449748458566,233.613023503895536582
0xe6B37e0204c60C1f3f2612E3fe5374925B80E2b8,152.074328872488953989,219.111900797078672287
0xbA6Ea09Fe569cf1da4e2eC680af139ce9F4Aab0d,145.758650408028408114,319.227954093584036367
0x34fB5E72A593ec2a3a1fE04eb9A52a3Cc48ACc18,140,234.031723549155056001
0x3A90117fBADfC94A65FDBB45493C51AAF4cDEA27,135.682849783864839773,248.132833965805047174
0x0Dd61F32D8fe10B06e184db5bF631a22BCb06bB1,134.995081751588749619,105.679197756445089785
0xaE5C50251017Ad218700F875DcE2f20fF783Ce1f,125.898745793486298088,108.012045575617991988
0x413575Afba89bf142a56179e7D2C08606e375322,121.474440174299258364,88.871695770030181118
0x9E9ACB2a0a2a93246D866CC6FB98b63D0a730F8C,118.13302869189831923,93.099232924338468574
0xc7DBCC064D3284a9320F074617443508B60263CF,117.034178141672886121,187.084084406142222099
0x61D082120F622e22E491E6Eb42dCC7FB0E39288e,113.644361414603552648,92.359384343775922751
0x36Cd58CBc7e7918CDc93dA345504162130043ba9,106.232752825688773498,166.086359489226713506
0xC2D4d30A60206021D777579752F3C7873C7DBe75,101.79032568715683745,90.189300324531610526
0x987b332c1fBcd3DA62e89f5Cd5D143F3629d6da6,100.955456596873659199,158.071883316323689607
0xf829f3B414f75e5AB99295eA14bd2372044434F4,100.001581026834458547,191.516434778405411255
0x74e08BC79D981FDBAFD7677e6D67057B1DfD460D,100,1.552509259259259258
0x42DcE09903beEb4cAf167eFcE9C4694F07086973,96.994556706038579378,142.393244047087468039
0xCd2Fb8A5A9A89Bf9166E7d2ba5D5e887E7e8F0E2,92.557421503566333987,101.992208965357631281
0x916175B7F60B636Cf1C5F8eA0c30fB66eD8f61A6,78.005898331444976603,48.335497947578976506
0x62917A155a81992b4c408086D018dc52475CEA8d,73,3.27024074074074074
0xb3Afa5ae8820a347d58c25DB46140269aE42a72D,69.686286813477939767,54.56552047748653044
0xB0CC2225cFD8C84C624FCF23777486403A061d89,66.212211184040443257,101.951050009294776275
0x1DaE7527D362C997d4B6b810679Ab8eCDc4e784F,62.955295967548079462,84.61303171541600806
0xd0F06d7071fd3DF132497c038c33E20B9947e05c,62,12.549842275494672754
0x44215a602dcbF15550CaCC0eAbd17bD38fcf61ac,61.579069498053767455,90.446679963575407764
